epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,411.231,1.38501,3.18491,2.72698,1.34406,1,0.24802,0.27348,0.22881,1,0.24802,0.27348,0.20913,1.33848,2.19922,2.9277,1.23522,0.000408497,0.000408497,0.000408497
2,861.973,1.19234,2.52078,1.73158,1.19876,0.98737,0.26794,0.37984,0.29245,0.98737,0.26794,0.37984,0.27774,1.26783,1.74003,2.411,1.22137,0.000416708,0.000416708,0.000416708
1,354.02,1.42287,3.18697,2.61934,1.34146,0.99395,0.25,0.332,0.25522,0.99395,0.25,0.33696,0.2314,1.30444,2.2215,2.82048,1.16464,0.000412541,0.000412541,0.000412541
2,772.679,1.22805,2.48514,1.68553,1.19603,0.81431,0.49702,0.53293,0.33709,0.81431,0.49702,0.54103,0.32734,1.5546,1.84926,2.17588,1.4516,0.00041875,0.00041875,0.00041875
1,339.303,1.3785,3.11699,2.59657,1.34114,0.99947,0.25,0.2995,0.24857,0.99947,0.25,0.30192,0.21136,1.36485,2.36979,2.6511,1.18828,0.000412541,0.000412541,0.000412541
2,687.356,1.22539,2.47887,1.65738,1.19093,0.70139,0.54608,0.55991,0.37953,0.62702,0.54013,0.51101,0.31166,1.13107,1.71842,1.85142,1.08197,0.00041875,0.00041875,0.00041875
1,71.9464,0.10189,0.1428,52.5301,0.08209,0,0,0,0,0,0,0,0,0,0,50.2987,0,0.000412541,0.000412541,0.000412541
2,118.583,0.12139,0.05698,41.879,0.09123,0,0,0,0,0,0,0,0,0,0,54.4629,0,0.000665025,0.000665025,0.000665025
3,164.399,0.16661,0.03974,35.8392,0.12282,0,0,0,0,0,0,0,0,0,0,41.6247,0,0.000752508,0.000752508,0.000752508
4,210.486,0.2063,0.11428,31.2546,0.15173,0,0,0,0,0,0,0,0,0,0,37.0357,0,0.0005075,0.0005075,0.0005075
5,256.946,0.1616,0.07049,29.1291,0.11883,0,0,0,0,0,0,0,0,0,0,34.5521,0,0.00026,0.00026,0.00026
1,46.8592,0,0,53.2009,0,0,0,0,0,0,0,0,0,0,0,48.5462,0,0.000412541,0.000412541,0.000412541
2,88.9374,0,0,41.5174,0,0,0,0,0,0,0,0,0,0,0,44.0206,0,0.000747116,0.000747116,0.000747116
3,130.715,0,0,34.8065,0,0,0,0,0,0,0,0,0,0,0,36.7308,0,0.000999191,0.000999191,0.000999191
4,173.279,0,0,28.8027,0,0,0,0,0,0,0,0,0,0,0,36.7549,0,0.00087875,0.00087875,0.00087875
1,45.2774,0,0,53.2009,0,0,0,0,0,0,0,0,0,0,0,48.5462,0,0.000412541,0.000412541,0.000412541
2,87.4265,0,0,41.5174,0,0,0,0,0,0,0,0,0,0,0,44.0206,0,0.000747116,0.000747116,0.000747116
3,129.462,0,0,34.8065,0,0,0,0,0,0,0,0,0,0,0,36.7308,0,0.000999191,0.000999191,0.000999191
4,171.939,0,0,28.8027,0,0,0,0,0,0,0,0,0,0,0,36.7549,0,0.00087875,0.00087875,0.00087875
1,70.8692,1.56251,3.1974,2.88836,1.46198,0.93431,0.30178,0.39352,0.2607,0.98522,0.28368,0.37413,0.20998,1.17036,2.36247,2.60809,1.13105,0.000412541,0.000412541,0.000412541
2,134.704,1.42017,2.62038,1.95588,1.2974,0.66662,0.63232,0.63356,0.36078,0.60341,0.57493,0.58815,0.33673,1.66608,1.71329,2.6467,1.44248,0.000747116,0.000747116,0.000747116
3,199.458,1.39022,2.33354,1.68613,1.27876,0.78984,0.58678,0.71189,0.40055,0.78984,0.58678,0.70756,0.40655,1.42557,1.51563,1.6569,1.31883,0.000999191,0.000999191,0.000999191
4,268.554,1.28922,2.21766,1.45009,1.21401,0.69727,0.81261,0.80256,0.52576,0.69727,0.81261,0.80364,0.42437,1.20224,1.42804,1.17388,1.07852,0.00087875,0.00087875,0.00087875
5,340.501,1.22935,2.04597,1.28428,1.17813,0.70784,0.7591,0.74067,0.4626,0.70784,0.7591,0.729,0.42157,1.66185,1.48889,1.26315,1.47566,0.000755,0.000755,0.000755
6,410.908,1.17492,1.9795,1.16321,1.15674,0.89633,0.76853,0.84203,0.50707,0.86583,0.6868,0.79261,0.47044,1.3796,1.13159,1.17631,1.12239,0.00063125,0.00063125,0.00063125
7,482.615,1.1188,1.8921,1.07349,1.11599,0.7233,0.7444,0.75506,0.52418,0.7233,0.7444,0.75072,0.47819,1.38568,1.34007,1.39308,1.45437,0.0005075,0.0005075,0.0005075
8,554.837,1.05931,1.84244,0.97351,1.08221,0.95945,0.75333,0.83229,0.57435,0.95945,0.75333,0.8295,0.49044,1.12892,1.0814,0.99305,1.13752,0.00038375,0.00038375,0.00038375
9,630.82,1.02801,1.75851,0.91847,1.06793,0.79839,0.7242,0.76755,0.5388,0.88668,0.65611,0.76395,0.48264,1.10336,1.09238,1.08453,1.04275,0.00026,0.00026,0.00026
10,713.166,0.96998,1.65198,0.86248,1.05335,0.74318,0.57861,0.59337,0.39022,0.76652,0.54873,0.58851,0.33172,1.1111,1.04039,1.1858,1.21548,0.00013625,0.00013625,0.00013625
1,68.5839,1.56251,3.1974,2.88836,1.46198,0.93431,0.30178,0.39352,0.2607,0.98522,0.28368,0.37413,0.20998,1.17036,2.36247,2.60809,1.13105,0.000412541,0.000412541,0.000412541
2,132.139,1.42017,2.62038,1.95588,1.2974,0.66662,0.63232,0.63356,0.36078,0.60341,0.57493,0.58815,0.33673,1.66608,1.71329,2.6467,1.44248,0.000747116,0.000747116,0.000747116
3,197.559,1.39022,2.33354,1.68613,1.27876,0.78984,0.58678,0.71189,0.40055,0.78984,0.58678,0.70756,0.40655,1.42557,1.51563,1.6569,1.31883,0.000999191,0.000999191,0.000999191
4,266.27,1.28922,2.21766,1.45009,1.21401,0.69727,0.81261,0.80256,0.52576,0.69727,0.81261,0.80364,0.42437,1.20224,1.42804,1.17388,1.07852,0.00087875,0.00087875,0.00087875
5,335.596,1.22935,2.04597,1.28428,1.17813,0.69365,0.78571,0.77618,0.47791,0.69365,0.78571,0.7643,0.44266,1.66185,1.48889,1.26315,1.47566,0.000755,0.000755,0.000755
6,403.842,1.17492,1.9795,1.16321,1.15674,0.88885,0.81581,0.88385,0.53198,0.86969,0.73384,0.83003,0.49513,1.3796,1.13159,1.17631,1.12239,0.00063125,0.00063125,0.00063125
7,474.266,1.1188,1.8921,1.07349,1.11599,0.71761,0.7591,0.77569,0.53966,0.72746,0.77101,0.78822,0.49278,1.38568,1.34007,1.39308,1.45437,0.0005075,0.0005075,0.0005075
8,547.495,1.05931,1.84244,0.97351,1.08221,0.96104,0.77994,0.87814,0.59782,0.96104,0.77994,0.87565,0.51422,1.12892,1.0814,0.99305,1.13752,0.00038375,0.00038375,0.00038375
9,623.286,1.02801,1.75851,0.91847,1.06793,0.79839,0.7242,0.76755,0.5388,0.88668,0.65611,0.76395,0.48264,1.10336,1.09238,1.08453,1.04275,0.00026,0.00026,0.00026
10,705.679,0.96998,1.65198,0.86248,1.05335,0.7387,0.62605,0.62729,0.41531,0.71539,0.60522,0.6194,0.3534,1.1111,1.04039,1.1858,1.21548,0.00013625,0.00013625,0.00013625
1,68.193,1.56251,3.1974,2.88836,1.46198,0.93431,0.30178,0.39352,0.2607,0.98522,0.28368,0.37413,0.20998,1.17036,2.36247,2.60809,1.13105,0.000412541,0.000412541,0.000412541
2,131.404,1.42017,2.62038,1.95588,1.2974,0.66662,0.63232,0.63356,0.36078,0.60341,0.57493,0.58815,0.33673,1.66608,1.71329,2.6467,1.44248,0.000747116,0.000747116,0.000747116
3,195.93,1.39022,2.33354,1.68613,1.27876,0.78984,0.58678,0.71189,0.40055,0.78984,0.58678,0.70756,0.40655,1.42557,1.51563,1.6569,1.31883,0.000999191,0.000999191,0.000999191
4,263.831,1.28922,2.21766,1.45009,1.21401,0.69727,0.81261,0.80256,0.52576,0.69727,0.81261,0.80364,0.42437,1.20224,1.42804,1.17388,1.07852,0.00087875,0.00087875,0.00087875
5,333.111,1.22935,2.04597,1.28428,1.17813,0.69365,0.78571,0.77618,0.47791,0.69365,0.78571,0.7643,0.44266,1.66185,1.48889,1.26315,1.47566,0.000755,0.000755,0.000755
6,401.224,1.17492,1.9795,1.16321,1.15674,0.88885,0.81581,0.88385,0.53198,0.86969,0.73384,0.83003,0.49513,1.3796,1.13159,1.17631,1.12239,0.00063125,0.00063125,0.00063125
7,471.082,1.1188,1.8921,1.07349,1.11599,0.72241,0.80651,0.81614,0.56743,0.73102,0.81842,0.82973,0.51824,1.38568,1.34007,1.39308,1.45437,0.0005075,0.0005075,0.0005075
8,542.39,1.05931,1.84244,0.97351,1.08221,0.96104,0.77994,0.87814,0.59782,0.96104,0.77994,0.87565,0.51422,1.12892,1.0814,0.99305,1.13752,0.00038375,0.00038375,0.00038375
9,618.463,1.02801,1.75851,0.91847,1.06793,0.81137,0.76623,0.81746,0.57714,0.90667,0.70225,0.813,0.51629,1.10336,1.09238,1.08453,1.04275,0.00026,0.00026,0.00026
10,700.639,0.96998,1.65198,0.86248,1.05335,0.7387,0.62605,0.62729,0.41531,0.71539,0.60522,0.6194,0.3534,1.1111,1.04039,1.1858,1.21548,0.00013625,0.00013625,0.00013625
