epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3684,2.01867,5.62323,1.89653,0.00138,0.25,0.03201,0.0173,1.36456,4.41736,1.63142,1.25e-05,1.25e-05,1.25e-05
2,18.7363,2.08208,5.41615,1.9633,0.00112,0.25,0.00321,0.00098,1.39667,5.08724,1.65057,3.37875e-05,3.37875e-05,3.37875e-05
3,26.0634,1.99811,4.63552,1.82216,0.00076,0.17647,0.00077,0.00024,1.69152,5.57987,1.78261,5.0125e-05,5.0125e-05,5.0125e-05
4,33.6139,1.51981,3.53733,1.54608,0.00072,0.16176,0.00088,0.00016,2.00714,5.66587,1.95068,6.15125e-05,6.15125e-05,6.15125e-05
5,41.2068,1.60299,3.12681,1.52085,0.00065,0.14706,0.00057,0.00015,2.16411,6.04121,2.0427,6.795e-05,6.795e-05,6.795e-05
6,48.9012,1.76414,3.14039,1.55603,0.00046,0.10294,0.00039,9e-05,2.48245,6.69424,2.20472,6.94375e-05,6.94375e-05,6.94375e-05
7,56.6039,1.5071,2.59199,1.31539,0.00033,0.07353,0.00025,4e-05,2.92328,6.85803,2.37527,6.5975e-05,6.5975e-05,6.5975e-05
8,64.3682,1.52765,2.54586,1.36766,0.00013,0.02941,9e-05,1e-05,3.12158,6.14509,2.45394,5.75625e-05,5.75625e-05,5.75625e-05
9,72.2421,1.45995,2.36632,1.37674,0.00013,0.02941,8e-05,1e-05,3.25486,6.22094,2.54531,4.42e-05,4.42e-05,4.42e-05
10,80.1866,1.189,2.20464,1.29109,0.00013,0.02941,8e-05,1e-05,3.32414,6.37048,2.59842,2.58875e-05,2.58875e-05,2.58875e-05
1,12.0986,1.23282,0.91268,0.58796,0,0,0,0,2.83431,2.64595,1.28557,1.25e-05,1.25e-05,1.25e-05
2,14.0404,0.00527,0.20487,0.00242,0,0,0,0,2.92018,2.68742,1.36263,3.37875e-05,3.37875e-05,3.37875e-05
3,15.798,0.3771,0.37382,0.1666,0,0,0,0,3.04063,2.649,1.38993,5.0125e-05,5.0125e-05,5.0125e-05
4,17.2989,0.00749,0.21032,0.00342,0,0,0,0,3.03836,2.65622,1.38446,6.15125e-05,6.15125e-05,6.15125e-05
5,18.9484,0.45537,0.48523,0.19734,0,0,0,0,3.11438,2.78422,1.46085,6.795e-05,6.795e-05,6.795e-05
6,20.3645,0.29966,0.35719,0.08457,0,0,0,0,3.11559,2.85492,1.43147,6.94375e-05,6.94375e-05,6.94375e-05
7,21.8236,0.17248,0.312,0.06766,0,0,0,0,3.1096,2.87099,1.37868,6.5975e-05,6.5975e-05,6.5975e-05
8,23.3479,0.82641,0.66649,0.28241,0,0,0,0,3.09804,2.89254,1.30546,5.75625e-05,5.75625e-05,5.75625e-05
9,24.8149,0.70489,0.513,0.26443,0,0,0,0,3.0244,2.89163,1.23478,4.42e-05,4.42e-05,4.42e-05
10,26.2031,1.08592,0.74258,0.32742,0,0,0,0,2.93126,2.85961,1.16125,2.58875e-05,2.58875e-05,2.58875e-05
